Q9CQW9	Q01628	70.312	128	38	0	1	128	1	128	1.63e-64	192
Q9CQW9	Q01629	66.165	133	43	2	1	133	1	131	9.93e-61	182
Q9CQW9	C9JQL5	70.370	108	32	0	1	108	1	108	3.41e-54	166
Q9CQW9	P13164	75.000	96	24	0	24	119	3	98	1.16e-49	154
Q9CQW9	A6NNB3	48.052	77	25	2	32	108	26	87	2.17e-21	82.8
Q9CQW9	A6NMD0	43.902	82	45	1	43	123	138	219	4.09e-19	79.3
Q9CQW9	Q7Z6L0	32.353	68	45	1	56	123	267	333	1.54e-05	42.7
Q9CQW9	A0A1B0GWB2	27.632	76	50	2	56	129	188	260	0.015	33.9
Q9CQW9	Q9NWZ5	38.182	55	32	2	10	62	78	132	4.4	26.9
Q9CQW9	Q7Z5Y7	35.417	48	25	2	15	56	150	197	6.3	26.6
Q9CQW9	Q9NTZ6	36.364	44	16	1	2	45	144	175	6.5	26.6
Q9CQW9	Q969R2	40.000	30	18	0	71	100	713	742	7.1	26.6
Q9CQW9	Q9NZK5	40.541	37	20	1	43	79	187	221	7.2	26.2
Q9CQW9	Q68DK2	28.571	42	30	0	51	92	482	523	7.3	26.6
Q9CQW9	P41229	40.541	37	18	2	2	38	1416	1448	7.5	26.2
Q9CQW9	P56715	36.667	30	19	0	2	31	1473	1502	9.1	26.2
Q9CQW9	Q9P2N4	40.741	27	15	1	28	54	16	41	9.5	26.2
Q8R2G6	Q76M96	83.455	955	147	3	1	949	1	950	0.0	1502
Q8R2G6	O60687	34.646	127	73	2	136	262	329	445	1.69e-12	70.5
Q8R2G6	O60687	29.496	139	84	3	766	903	330	455	7.99e-12	68.6
Q8R2G6	O60687	24.342	152	100	1	609	760	329	465	2.09e-06	51.2
Q8R2G6	P78539	32.867	143	84	3	770	912	332	462	3.57e-11	66.2
Q8R2G6	P78539	27.632	152	95	1	609	760	327	463	6.51e-05	46.2
Q8R2G6	P78539	29.452	146	93	2	137	282	328	463	2.14e-04	44.7
Q8R2G6	Q9HC84	34.677	124	62	6	304	419	3476	3588	4.16e-04	44.3
Q8R2G6	Q9HC84	29.245	106	47	5	318	418	1690	1772	6.4	30.4
Q8R2G6	Q9HC84	24.793	121	85	3	315	431	2710	2828	9.5	30.0
Q8R2G6	Q6ZRI0	29.496	139	83	5	325	450	1739	1875	0.044	37.4
Q8R2G6	Q6ZRI0	25.342	146	88	6	322	463	1490	1618	0.27	35.0
Q8R2G6	Q6ZRI0	21.429	140	97	3	322	449	1641	1779	0.46	34.3
Q8R2G6	Q6ZRI0	25.000	156	96	8	337	488	1616	1754	3.7	31.2
Q8R2G6	Q15560	50.000	36	17	1	338	372	117	152	0.83	32.7
Q8R2G6	Q9NX46	30.000	60	41	1	217	276	210	268	1.4	32.3
Q8R2G6	P11047	29.412	68	46	1	515	580	1441	1508	1.4	32.7
Q8R2G6	P32418	32.143	84	50	2	487	568	658	736	1.7	32.3
Q8R2G6	Q7Z5P9	27.338	139	67	5	300	419	8036	8159	3.4	31.2
Q8R2G6	Q9BSV6	23.596	89	63	1	518	606	89	172	9.5	29.3
Q99KG5	Q86X29	79.966	594	102	7	13	594	61	649	0.0	822
